Kanji,Hiragana,Tiếng Việt,Từ loại,JLPT Level
あのう,あのう,"à, ừm… (dùng trong giao tiếp, biểu thị sự ngại ngùng, do dự)",danh từ,N5
いいえ,いいえ,không,danh từ,N5
いかが,いかが,như thế nào (cách nói lịch sự của どう）,danh từ,N5
いくつ,いくつ,bao nhiêu cái? bao nhiêu tuổi?,danh từ,N5
いくら,いくら,bao nhiêu? (Hỏi giá tiền),danh từ,N5
いつ,いつ,khi nào,danh từ,N5
いつも,いつも,luôn luôn,danh từ,N5
ええ,ええ,"Vâng, có..(bằng はい）",danh từ,N5
先,さき,trước (làm cái gì đó trước),danh từ,N5
しかし,しかし,Tuy nhiên,danh từ,N5
すぐに,すぐに,ngay lập tức,danh từ,N5
その,その,~đó,danh từ,N5
それから,それから,sau đó,danh từ,N5
それでは,それでは,"vậy thì, thế thì",danh từ,N5
たくさん,たくさん,nhiều,danh từ,N5
たぶん,たぶん,"có thể, có lẽ",danh từ,N5
誰,だれ,"ai, người nào",danh từ,N5
誰,だれか,ai đó,danh từ,N5
だんだん,だんだん,dần,danh từ,N5
ちょうど,ちょうど,"vừa đúng, vừa đủ",danh từ,N5
ちょっと,ちょっと,"một ít, một chút",danh từ,N5
次,つぎ,tiếp theo,danh từ,N5
どう,どう,như thế nào,danh từ,N5
どうして,どうして,tại sao,danh từ,N5
どうぞ,どうぞ,xin mời,danh từ,N5
どこ,どこ,chỗ nào,danh từ,N5
どちら,どちら,phía nào,danh từ,N5
どっち,どっち,phía nào (thân mật của どちら),danh từ,N5
どれ,どれ,cái nào,danh từ,N5
なぜ,なぜ,tại sao,danh từ,N5
など,など,vân vân,danh từ,N5
何,なん/なに,"gì, cái gì",danh từ,N5
はい,はい,"vâng, có",danh từ,N5
ほか,ほか,khác,danh từ,N5
まっすぐ,まっすぐ,thẳng,danh từ,N5
さあ,さあ,dùng để chuyển đề tài,danh từ,N5
